index,reviewerName,product,reviewText,overall,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
0,J. Morse,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-09-09,455,0,0,0,0,0.0,0.0
1,Steven K,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",1.0,2014-05-24,198,0,0,0,0,0.0,0.0
2,Brandon Batson,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",1.0,2012-12-24,714,0,0,0,0,0.0,0.0
3,Robert Sommer,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2014-05-03,219,0,0,0,0,0.0,0.0
4,"Joseph Criniti, Jr.",Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2012-10-17,782,0,0,0,0,0.0,0.0
5,A. Garcia,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-07-29,497,0,0,0,0,0.0,0.0
6,Katmai,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2014-04-02,250,0,0,0,0,0.0,0.0
7,Kirk,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-06-19,537,0,0,0,0,0.0,0.0
8,J. Cervantes,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2013-08-15,480,0,0,0,0,0.0,0.0
9,nta699,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2014-02-24,287,0,0,0,0,0.0,0.0
10,A Student,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",1.0,2013-10-11,423,1,0,1,1,1.0,0.2065493143772374
11,Markk,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2013-03-22,626,0,0,0,0,0.0,0.0
12,unixman,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2012-12-29,709,0,0,0,0,0.0,0.0
